CC	А	I союз противит разг а, тогда как, в то время как —	Хуш, ваъданг канча3— Кирк центнер дан — А кизлар-чи3 —	Юз» (Ойбек «О в шаба халар») Ну, каково тво« обяз I тельство3— По сорок центнеров — А у девушек3— Сто*
A1	БЕИМОН	 — имонсиз.
A1	БЕИНТИЗОМ	— ннтизомсиз.
ADV	БЕИСТИСНО	нареч. книжн. без исключения, не делая исключений.
A1	БЕИХТИЁР	 невольный, непроизвольный; машинальный, // невольно, непроизвольно, помимо своей воли: машинально; — ҳаракат невольное, машинальное движение; — кулнб юборди он невольно засмеялся; мен дан ~ без моего разрешения.
A1	БЕИШ	 = ишсиз; — бўлмоқ быть свободным, не иметь дела юш работы; — кирилмасин! без дела не входить!
A1	БЕИШКАЛ	гладко, без затруднений; без сучка без задоринки.
ADV	БЕИШТИБОҲ	книжн. без сомнения, не сомневаясь.
N1	БЕК	I ист 1 бек (1 титул знатного лица: 2 правитель какого-л. района или города в среднеазиатских ханствах в эпоху феодализма); бек ойим госпожа (жена или мать бека, а также форма обращения к ним); 2 составная часть имён собственных мужских; 3 присоединяется к мужским именам, придавая оттенок уважения; -ф- узн(га) хон, узн(га) — сам себе господин, сам бог и царь,
A2	БЕК	II разг. = берк
N1	БЕКА	1 ист.* жена бека (см. бек I I, 2); 2 госпожа хозяйка дома, туй —си главная распорядительница тбя (см. туй).
A1	БЕКАМИ-КЎСТ	 1 безупречный, безукоризненный, без малейшего упущения, без какого бы то ни было недостатка; идеальный // безупречно, безукоризненно, идеально; рўзғоримиз — наш дом — полная чаша; ишни — бажармоқ выполнять работу безукоризненно; 2 сполна, целиком полностью без недостачи
N1	БЕКАМИ-КЎСТЛИК	 1 безупречность, безукоризненность, исчерпывающая полнота, полное совершенство, идеальность; 2 отсутствие недостачи или нехваток.
A2	БЕКАС	уст. не имёюшнй близких, одинокий, покинутый, брошенный.
N1	БЕКАСЛИК	уст. одиночество; Отанг ҳажга кетгандан бери яна бекаслигим ортди (Ҳамза) С тех пор как твой отец отправился в паломничество, я ещё сильнее почувствовала своё одиночество^
N1	БЕКАТ	 1 ист. почтовая станция; 2 место или пункт остановки (в дороге); 3 перец, рубеж, ступень (развития).
N1	БЕКАЧ	1 ист. жена или дочь бека (см. бек 1 1, 2); 2 уст, почтительное обрашёние к женщинам; 3 Бекач (имя собств. женское).
N1	БЕКВАЧЧА	 ист. сын бека, потомок бека {см. бек I 1. 2).
N1	БЕКЗОДА	 = беквачча.
N1	БЕКЗОД	
N1	БЕКЗОТ	 разг. = бекзод(а).
A2	БЕКИК	= берк.
N1	БЕКИКЛИК	отел. сущ. от бекик.
V-IV	БЕКИЛМОК	 закрываться, затворяться, запираться, быть закрываемым, затворяемым, запираемым.
V-IV-COOP	БЕКИНИШ.МОҚ	 совм. от бекиимоқ.
N1	БЕКИНМАЧОҚ	прятки (игра); ~ ўйнамоқ играть в прятки.
V-IV	БЕКИНМОҚ	 прятаться, укрываться; офтобдан — прятаться от солнца; у ига — спрятаться в комнате.
V-TV-CAUS	БЕКИНТИР.МОҚ	 понуд. от бекиимоқ прятать, укрывать, давать возможность спрятаться или укрыться.
A1	БЕКИТИКЧА	 скрытый, тайный;//скрытно, тайно, исподтишка, украдкой.
V-TV	БЕКИТМОҚ	 1 закрывать, затворять, запирать; эшикни цулфлаб — закрывать дверь на замок; яшикни қопқоқ бв-лан — закрывать ящик крышкой; китобни — закрывать книгу, йўлни, бскитиб қўймоқ закрыть дорогу; 2 прятать, укрывать, юзини офтобдан — прятать лицо от солнца; 3 перен. таить, скрывать; сир — хранить тайну; мен дан сир бекитади он скрывает свой секреты от меня, он не делится со мной; бнровнинг айбиии — покрывать чью-лнбо вип\.
